Latitude,Longitude,Activations
39.066,-94.570,16
39.045,-94.549,12
39.037,-94.573,3
39.038,-94.573,7
39.056,-94.573,2
39.056,-94.569,6
39.045,-94.568,16
39.042,-94.554,11
39.039,-94.565,1
39.047,-94.578,1
39.042,-94.558,4
39.051,-94.562,7
39.038,-94.561,12
39.050,-94.561,5
39.045,-94.551,30
39.050,-94.573,2
39.038,-94.555,6
39.041,-94.557,1
39.065,-94.571,17
39.060,-94.563,10
39.049,-94.562,7
39.050,-94.568,6
39.066,-94.566,2
39.046,-94.563,27
39.039,-94.552,6
39.053,-94.563,7
39.043,-94.552,46
39.068,-94.556,4
39.038,-94.553,6
39.064,-94.553,7
39.037,-94.558,8
39.047,-94.569,12
39.042,-94.559,4
39.040,-94.570,1
39.037,-94.551,10
39.039,-94.558,7
39.065,-94.552,9
39.041,-94.567,6
39.045,-94.571,3
39.038,-94.564,12
39.062,-94.558,8
39.063,-94.568,7
39.067,-94.571,11
39.052,-94.565,13
39.070,-94.567,2
39.071,-94.568,2
39.065,-94.550,21
39.061,-94.567,6
39.037,-94.569,1
39.068,-94.554,9
39.048,-94.569,2
39.041,-94.551,11
39.053,-94.569,3
39.047,-94.577,1
39.058,-94.563,7
39.054,-94.552,7
39.066,-94.565,2
39.045,-94.548,5
39.051,-94.559,6
39.057,-94.546,11
39.051,-94.556,7
39.069,-94.569,2
39.064,-94.552,20
39.049,-94.554,33
39.036,-94.567,9
39.047,-94.562,4
39.046,-94.546,1
39.055,-94.566,5
39.051,-94.546,3
39.062,-94.569,2
39.053,-94.562,11
39.049,-94.557,16
39.050,-94.547,10
39.035,-94.557,7
39.047,-94.574,2
39.043,-94.563,1
39.069,-94.564,5
39.066,-94.568,7
39.049,-94.550,7
39.035,-94.555,4
39.068,-94.566,1
39.049,-94.558,9
39.052,-94.578,1
39.061,-94.556,14
39.057,-94.569,1
39.035,-94.570,2
39.046,-94.562,3
39.062,-94.574,1
39.050,-94.550,10
39.070,-94.556,4
39.034,-94.554,5
39.062,-94.559,4
39.033,-94.567,1
39.038,-94.567,4
39.060,-94.564,4
39.039,-94.561,4
39.055,-94.565,3
39.056,-94.571,4
39.033,-94.559,5
39.038,-94.571,4
39.064,-94.555,8
39.057,-94.564,6
39.052,-94.570,10
39.068,-94.563,2
39.041,-94.574,1
39.067,-94.549,4
39.040,-94.567,2
39.057,-94.565,10
39.048,-94.567,5
39.063,-94.574,6
39.038,-94.552,6
39.042,-94.550,4
39.042,-94.566,6
39.050,-94.552,6
39.039,-94.562,4
39.049,-94.568,7
39.040,-94.559,12
39.056,-94.574,3
39.047,-94.552,8
39.064,-94.547,11
39.058,-94.576,4
39.046,-94.552,7
39.047,-94.563,9
39.049,-94.565,11
39.065,-94.560,5
39.069,-94.565,5
39.047,-94.557,9
39.047,-94.556,6
39.047,-94.573,3
39.052,-94.568,14
39.045,-94.573,4
39.067,-94.553,3
39.051,-94.564,3
39.033,-94.557,2
39.037,-94.553,8
39.041,-94.556,4
39.033,-94.565,2
39.035,-94.563,3
39.055,-94.564,13
39.070,-94.559,3
39.065,-94.563,3
39.046,-94.566,5
39.041,-94.562,2
39.039,-94.570,4
39.039,-94.571,2
39.040,-94.571,1
39.038,-94.572,3
39.056,-94.550,11
39.053,-94.553,7
39.054,-94.548,6
39.043,-94.569,5
39.063,-94.564,6
39.040,-94.562,2
39.058,-94.562,7
39.050,-94.566,10
39.051,-94.563,9
39.056,-94.568,7
39.037,-94.570,1
39.043,-94.571,6
39.042,-94.573,3
39.040,-94.555,3
39.051,-94.561,5
39.051,-94.573,2
39.059,-94.564,7
39.034,-94.565,13
39.044,-94.549,2
39.061,-94.550,6
39.060,-94.565,2
39.041,-94.569,3
39.064,-94.567,3
39.053,-94.570,5
39.068,-94.560,2
39.042,-94.562,2
39.047,-94.548,4
39.046,-94.548,8
39.067,-94.561,4
39.070,-94.560,8
39.042,-94.560,4
39.056,-94.577,5
39.057,-94.574,1
39.047,-94.551,4
39.069,-94.554,1
39.043,-94.559,10
39.066,-94.564,1
39.049,-94.548,9
39.064,-94.563,9
39.060,-94.560,8
39.043,-94.549,1
39.070,-94.555,7
39.069,-94.570,3
39.049,-94.576,1
39.065,-94.547,2
39.047,-94.561,3
39.037,-94.554,2
39.056,-94.563,8
39.060,-94.567,8
39.042,-94.556,11
39.040,-94.563,15
39.071,-94.553,1
39.042,-94.568,6
39.053,-94.573,3
39.038,-94.554,11
39.045,-94.563,4
39.033,-94.552,5
39.047,-94.553,1
39.059,-94.570,2
39.062,-94.562,7
39.037,-94.557,9
39.058,-94.556,15
39.034,-94.556,11
39.046,-94.561,6
39.036,-94.557,5
39.038,-94.551,1
39.051,-94.572,4
39.056,-94.553,8
39.068,-94.561,3
39.045,-94.547,4
39.064,-94.574,18
39.052,-94.547,7
39.071,-94.563,4
39.062,-94.563,3
39.067,-94.567,1
39.069,-94.555,1
39.065,-94.575,1
39.067,-94.562,3
39.056,-94.576,2
39.066,-94.562,3
39.035,-94.554,3
39.053,-94.566,7
39.036,-94.556,5
39.058,-94.568,1
39.039,-94.560,4
39.040,-94.557,2
39.044,-94.573,4
39.044,-94.548,1
39.050,-94.551,6
39.053,-94.567,4
39.071,-94.557,1
39.066,-94.571,2
39.045,-94.567,7
39.043,-94.558,3
39.057,-94.553,5
39.066,-94.549,6
39.035,-94.551,3
39.069,-94.558,3
39.065,-94.562,2
39.069,-94.560,4
39.060,-94.566,3
39.055,-94.571,2
39.051,-94.574,4
39.070,-94.552,2
39.070,-94.562,3
39.053,-94.577,2
39.067,-94.552,4
39.068,-94.564,3
39.058,-94.577,1
39.057,-94.575,4
39.048,-94.573,2
39.067,-94.566,3
39.069,-94.571,1
39.039,-94.553,8
39.034,-94.572,1
39.037,-94.567,8
39.052,-94.546,7
39.068,-94.553,5
39.071,-94.558,7
39.070,-94.558,4
39.042,-94.561,3
39.060,-94.576,1
39.071,-94.556,1
39.050,-94.563,3
39.036,-94.573,1
39.042,-94.576,1
39.036,-94.558,3
39.040,-94.552,1
39.055,-94.576,3
-94.559,,1
39.066,-94.548,3
39.061,-94.573,2
39.033,-94.564,6
39.051,-94.569,9
39.035,-94.553,1
39.067,-94.563,4
39.043,-94.561,3
39.068,-94.562,2
39.051,-94.578,1
39.044,-94.572,4
39.049,-94.577,2
39.065,-94.554,5
39.052,-94.553,10
39.044,-94.574,2
39.046,-94.559,3
39.044,-94.576,1
39.070,-94.563,2
39.040,-94.565,1
39.036,-94.569,1
39.064,-94.546,1
39.069,-94.567,3
39.034,-94.569,2
39.056,-94.578,1
39.064,-94.564,2
